image,compression,plt,% Decrease
12232.jpg,0,307.735,0
12232.jpg,25,253.985,17.46632655
12232.jpg,50,173.19,43.7210587
12232.jpg,75,140.885,54.21872715
11829.jpg,0,285.17,0
11829.jpg,25,129.685,54.52361749
11829.jpg,50,123.995,56.51891854
11829.jpg,75,94.72,66.7847249
11510.jpg,0,216.98,0
11510.jpg,25,175.995,18.88883768
11510.jpg,50,152.92,29.52345838
11510.jpg,75,126.63,41.63978247
11384.jpg,0,217.475,0
11384.jpg,25,113.445,47.83538338
11384.jpg,50,98.355,54.77411197
11384.jpg,75,105.3,51.58064145
11237.jpg,0,238.82,0
11237.jpg,25,225.81,5.447617452
11237.jpg,50,180.78,24.30282221
11237.jpg,75,138.59,41.96884683
11109.jpg,0,225.025,0
11109.jpg,25,126.225,43.90623264
11109.jpg,50,119.115,47.06588157
11109.jpg,75,110.235,51.01210977
11006.jpg,0,199.35,0
11006.jpg,25,97.81,50.93554051
11006.jpg,50,94.645,52.5232004
11006.jpg,75,81.625,59.05442689
10961.jpg,0,220.04,0
10961.jpg,25,212.21,3.558443919
10961.jpg,50,151.14,31.31248864
10961.jpg,75,126.16,42.66497001
10856.jpg,0,165.105,0
10856.jpg,25,104.875,36.47981587
10856.jpg,50,101.375,38.59967899
10856.jpg,75,111.39,32.5338421
10819.jpg,0,251.975,0
10819.jpg,25,122.695,51.30667725
10819.jpg,50,110.88,55.99563449
10819.jpg,75,105.91,57.96805239
